# Result of Exception Analysis....

1A	[signaler] UnsupportedOperationException	org.argouml.cognitive.critics.CompoundCritic	getSupportedDecisions(	CognitiveSuport	[handler] Throwable	org.argouml.cognitive.Designer	run(	
16i	[signaler] IllegalArgumentException	org.argouml.uml.cognitive.critics.WizManyNames	setMEs(java.util.Vector)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
17A	[signaler] NullPointerException	org.argouml.cognitive.ResolvedCritic	ResolvedCritic(org.argouml.cognitive.critics.Critic,org.argouml.cognitive.ListSet,boolean)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
17B	[signaler] NullPointerException	org.argouml.cognitive.ResolvedCritic	ResolvedCritic(org.argouml.cognitive.critics.Critic,org.argouml.cognitive.ListSet,boolean)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
18A	[signaler] UnresolvableException	org.argouml.cognitive.ResolvedCritic	importOffenders(org.argouml.cognitive.ListSet,boolean)	CognitiveSuport	[handler] UnresolvableException	org.argouml.cognitive.ResolvedCritic	ResolvedCritic(org.argouml.cognitive.critics.Critic,org.argouml.cognitive.ListSet,boolean)	CognitiveSuport
19A	[signaler] UnresolvableException	org.argouml.cognitive.ResolvedCritic	ResolvedCritic(org.argouml.cognitive.critics.Critic,org.argouml.cognitive.ListSet,boolean)	CognitiveSuport	[handler] UnresolvableException	org.argouml.cognitive.ToDoList	addE(org.argouml.cognitive.ToDoItem)	CognitiveSuport


# Errors found on analysis....

ExceptionalInterface error: O método não foi encontrado nos arquivos coloridos.
	Exception: [IllegalArgumentException]
	Method: Lorg/argouml/application/Main$1#i18nlocalize(Ljava/lang/String;)Ljava/lang/String;
	Note: 

ExceptionalInterface error: O método não foi encontrado nos arquivos coloridos.
	Exception: [IllegalArgumentException]
	Method: Lorg/argouml/cognitive/Goal#<clinit>()V
	Note: 

ExceptionalInterface error: O método não foi encontrado nos arquivos coloridos.
	Exception: [IllegalArgumentException, IllegalStateException]
	Method: Lorg/argouml/ui/targetmanager/TargetManager$HistoryManager#access$3(Lorg/argouml/ui/targetmanager/TargetManager$HistoryManager;)V
	Note: 

ExceptionalInterface error: O método não foi encontrado nos arquivos coloridos.
	Exception: [IllegalArgumentException]
	Method: Lorg/argouml/uml/cognitive/UMLDecision#<clinit>()V
	Note: 

ExceptionalInterface error: O método não foi encontrado nos arquivos coloridos.
	Exception: [IllegalArgumentException]
	Method: Lorg/argouml/uml/cognitive/critics/WizOperName#Lorg/argouml/uml/cognitive/critics/WizOperName()V
	Note: 

ExceptionalInterface error: O método não foi encontrado nos arquivos coloridos.
	Exception: [IllegalArgumentException, UnsupportedOperationException]
	Method: Lorg/argouml/uml/cognitive/critics/Init#<clinit>()V
	Note: 

ExceptionalInterface error: O método não foi encontrado nos arquivos coloridos.
	Exception: [IllegalArgumentException, IllegalStateException]
	Method: Lorg/argouml/ui/targetmanager/TargetManager$HistoryManager#access$2(Lorg/argouml/ui/targetmanager/TargetManager$HistoryManager;)V
	Note: 

ExceptionalInterface error: O método não foi encontrado nos arquivos coloridos.
	Exception: [IllegalArgumentException]
	Method: Lorg/argouml/cognitive/critics/Critic#<clinit>()V
	Note: 

ExceptionalInterface error: O método não foi encontrado nos arquivos coloridos.
	Exception: [IllegalArgumentException]
	Method: Lorg/argouml/cognitive/Decision#<clinit>()V
	Note: 

